SIMULATION 5: 30 xApps, 40 Parameters, 15 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x19,p27,154.75,447.51
x19,p35,35.92,468.82
x19,p18,144.25,378.22
x19,p8,77.06,173.65
x19,p30,128.07,147.44
x19,p19,171.92,404.56
x19,p39,206.77,387.0
x19,p11,26.72,88.71
x19,p22,47.69,239.96
x19,p14,137.06,327.44
x19,p26,130.24,203.36
x19,p34,116.42,136.51
x19,p5,239.64,492.5
x19,p3,227.83,378.06
x20,p12,116.25,156.18
x20,p36,232.68,443.47
x20,p10,170.75,233.29
x20,p8,41.23,167.58
x20,p29,71.99,296.03
x20,p33,139.03,230.46
x20,p19,229.17,404.27
x20,p9,60.95,128.28
x20,p3,120.22,313.89
x20,p24,83.78,377.79
x20,p40,112.87,264.21
x20,p20,161.75,331.49
x20,p15,243.67,337.12
x20,p37,191.18,423.09
x20,p4,82.73,131.36
x20,p17,40.95,360.33
x20,p5,218.96,488.41
x20,p1,111.09,228.43
x21,p17,84.93,407.17
x21,p32,137.33,371.28
x21,p21,133.02,379.37
x21,p26,91.53,275.75
x21,p9,81.76,106.39
x21,p15,113.64,501.77
x21,p37,90.22,368.43
x21,p28,42.05,99.25
x21,p16,154.35,200.12
x21,p7,112.94,348.35
x21,p35,224.68,337.51
x21,p6,81.95,202.89
x21,p19,170.85,284.5
x21,p1,69.39,179.65
x21,p11,61.1,72.62
x21,p34,96.47,146.51
x21,p36,206.59,350.95
x22,p24,127.09,289.28
x22,p36,181.9,347.33
x22,p20,299.47,328.91
x22,p34,121.81,124.35
x22,p9,92.79,125.09
x22,p2,150.25,356.93
x22,p39,198.68,280.12
x22,p37,177.52,350.57
x22,p21,205.46,316.52
x22,p3,86.45,300.31
x22,p15,82.7,491.14
x22,p33,107.41,194.11
x22,p5,285.05,301.98
x22,p40,67.07,246.96
x22,p4,120.91,173.3
x22,p25,131.39,308.49
x23,p12,124.85,142.34
x23,p19,197.08,329.91
x23,p16,110.86,243.8
x23,p22,96.02,189.91
x23,p20,105.67,515.36
x23,p33,131.47,181.4
x23,p6,87.41,189.21
x23,p36,217.62,437.8
x23,p1,53.75,242.93
x23,p27,132.9,335.92
x23,p25,84.15,474.99
x23,p39,203.22,394.33
x23,p28,52.2,103.32
x23,p11,59.33,67.15
x23,p3,228.1,276.47
x23,p5,180.95,467.93
x23,p17,68.11,407.38
x23,p13,136.95,323.65
x23,p15,94.72,451.77
x23,p26,122.06,179.06
x23,p7,199.33,373.04
x24,p1,51.69,167.9
x24,p3,205.35,444.76
x24,p7,61.06,335.98
x24,p40,151.36,237.18
x24,p23,105.59,332.93
x24,p21,131.76,322.1
x24,p33,172.26,253.98
x24,p28,57.66,124.1
x24,p32,139.22,312.09
x24,p31,140.76,242.09
x24,p9,93.97,108.82
x24,p35,219.07,392.59
x24,p25,31.09,458.08
x24,p10,197.84,306.57
x24,p27,29.85,405.18
x24,p38,153.14,394.36
x24,p12,118.24,147.97
x24,p6,74.11,260.74
x24,p13,222.41,288.93
x24,p2,146.0,273.79
x24,p29,52.02,233.06
x24,p5,179.98,444.8
x25,p8,78.48,185.11
x25,p1,148.67,234.7
x25,p23,250.66,488.24
x25,p30,89.68,171.08
x25,p31,138.65,295.98
x25,p29,16.14,271.45
x25,p6,110.72,196.0
x25,p13,205.95,312.35
x25,p26,83.45,171.42
x25,p7,86.03,262.44
x25,p12,127.43,169.17
x25,p22,64.2,225.06
x25,p2,76.62,220.57
x26,p10,54.78,243.07
x26,p22,150.41,178.51
x26,p2,67.48,310.06
x26,p18,15.95,220.19
x26,p23,278.87,332.92
x26,p12,113.55,150.1
x26,p20,154.38,346.15
x26,p24,190.05,380.78
x26,p9,73.9,127.84
x26,p5,203.66,460.85
x26,p6,130.25,193.84
x26,p26,97.11,177.66
x26,p15,82.75,469.38
x26,p14,128.42,373.86
x26,p34,115.63,155.67
x26,p33,160.5,204.42
x26,p19,251.0,392.01
x27,p36,178.54,473.38
x27,p31,104.11,196.22
x27,p11,52.58,97.23
x27,p33,134.58,227.51
x27,p2,98.32,225.08
x27,p29,44.91,194.58
x27,p20,195.34,459.59
x27,p38,132.09,409.28
x27,p17,126.24,295.21
x27,p30,28.34,207.55
x27,p34,107.95,135.33
x27,p23,179.2,448.37
x28,p21,118.52,316.67
x28,p4,117.24,146.67
x28,p9,86.88,139.87
x28,p15,74.73,524.3
x28,p14,124.95,293.93
x28,p26,39.43,281.93
x28,p12,124.92,164.42
x28,p17,70.88,324.96
x28,p13,76.08,404.53
x28,p11,40.19,68.11
x28,p7,66.18,300.51
x28,p10,155.3,240.36
x28,p39,83.41,334.25
x28,p6,61.7,220.34
x28,p38,191.06,293.82
x28,p30,63.82,199.59
x28,p25,53.02,331.95
x28,p34,116.9,125.25
x28,p19,137.69,400.17
x28,p2,162.25,256.16
x28,p40,159.25,261.7
x29,p13,78.32,304.86
x29,p39,120.41,388.28
x29,p38,127.64,374.76
x29,p40,145.86,231.07
x29,p11,33.9,74.77
x29,p16,161.69,195.67
x29,p17,15.72,387.55
x29,p18,54.04,244.91
x29,p22,141.86,231.51
x29,p26,85.03,241.98
x29,p36,103.56,570.76
x29,p34,104.59,148.39
x29,p5,244.0,327.16
x29,p37,67.22,336.24
x30,p5,291.35,478.74
x30,p31,143.37,210.6
x30,p36,127.8,434.1
x30,p15,152.64,443.6
x30,p37,188.37,364.17
x30,p1,74.13,201.69
x30,p26,100.76,274.66
x30,p9,83.88,114.57
x30,p32,109.26,300.89
x30,p17,198.45,300.48
x30,p4,98.98,143.79
x30,p7,190.84,307.77
x30,p35,236.1,490.76
x30,p30,74.9,245.62
x30,p39,102.59,318.29

PARAMETER-KPI INFLUENCE RANGES
parameter,p_range_min,p_range_max,kpi,k_min,k_max
p1,74.96,239.8,k4,21.662001996901694,155.06813557790005
p1,100.06,259.94,k6,28.107392037707974,216.63587318327092
p1,140.67,225.29,k12,40.160897732524816,112.8009896210789
p1,82.59,249.23,k11,5.962251980110928,149.27604504485964
p1,97.4,214.64,k2,15.964165152310866,85.92508752832224
p1,57.61,174.42,k5,9.157453459324422,148.28324705263594
p2,147.4,260.49,k4,21.662001996901694,155.06813557790005
p2,181.45,310.29,k9,0.6067309739288429,92.46329302517373
p2,172.28,308.86,k6,28.107392037707974,216.63587318327092
p2,100.98,309.67,k13,1.4498651817969443,92.92457969024203
p2,118.96,326.65,k1,16.035463459088252,153.32014029810966
p2,142.43,277.06,k5,9.157453459324422,148.28324705263594
p2,97.22,199.34,k3,6.235252627712046,175.16715372242368
p2,156.57,291.42,k15,12.05944173068339,86.15833744238587
p2,71.17,240.16,k2,15.964165152310866,85.92508752832224
p2,85.69,251.68,k7,49.718771340557446,135.30726544255597
p3,254.48,432.92,k9,0.6067309739288429,92.46329302517373
p3,160.34,364.86,k12,40.160897732524816,112.8009896210789
p3,125.59,415.88,k3,6.235252627712046,175.16715372242368
p3,212.62,402.71,k13,1.4498651817969443,92.92457969024203
p3,207.98,295.85,k2,15.964165152310866,85.92508752832224
p3,249.8,281.33,k4,21.662001996901694,155.06813557790005
p3,153.58,396.81,k11,5.962251980110928,149.27604504485964
p4,89.03,167.61,k5,9.157453459324422,148.28324705263594
p4,117.38,139.12,k14,46.15300448180672,177.93288746264977
p4,75.19,159.51,k9,0.6067309739288429,92.46329302517373
p4,122.16,171.09,k12,40.160897732524816,112.8009896210789
p4,95.58,126.81,k11,5.962251980110928,149.27604504485964
p4,97.92,159.73,k3,6.235252627712046,175.16715372242368
p4,111.88,137.85,k2,15.964165152310866,85.92508752832224
p5,187.74,343.33,k9,0.6067309739288429,92.46329302517373
p5,107.32,408.1,k4,21.662001996901694,155.06813557790005
p5,283.94,349.89,k11,5.962251980110928,149.27604504485964
p5,187.02,357.58,k15,12.05944173068339,86.15833744238587
p6,98.95,179.54,k6,28.107392037707974,216.63587318327092
p6,121.75,188.88,k8,3.9667395492727078,118.02775849444842
p6,116.14,188.08,k15,12.05944173068339,86.15833744238587
p6,92.51,191.95,k1,16.035463459088252,153.32014029810966
p6,178.08,244.66,k7,49.718771340557446,135.30726544255597
p6,90.65,252.55,k13,1.4498651817969443,92.92457969024203
p6,99.16,239.42,k5,9.157453459324422,148.28324705263594
p6,102.67,184.58,k14,46.15300448180672,177.93288746264977
p6,171.46,258.53,k4,21.662001996901694,155.06813557790005
p6,171.05,227.72,k10,46.75449033065463,92.31634452966992
p7,166.26,278.36,k11,5.962251980110928,149.27604504485964
p7,160.59,376.02,k6,28.107392037707974,216.63587318327092
p7,84.98,310.52,k12,40.160897732524816,112.8009896210789
p7,221.6,376.73,k8,3.9667395492727078,118.02775849444842
p7,85.26,290.65,k2,15.964165152310866,85.92508752832224
p7,140.4,396.37,k7,49.718771340557446,135.30726544255597
p7,181.29,281.93,k1,16.035463459088252,153.32014029810966
p7,101.67,401.23,k4,21.662001996901694,155.06813557790005
p7,116.33,348.67,k13,1.4498651817969443,92.92457969024203
p7,49.87,414.27,k9,0.6067309739288429,92.46329302517373
p8,61.92,197.81,k8,3.9667395492727078,118.02775849444842
p8,65.83,219.76,k10,46.75449033065463,92.31634452966992
p8,110.89,212.16,k5,9.157453459324422,148.28324705263594
p8,60.85,212.33,k2,15.964165152310866,85.92508752832224
p8,103.85,183.2,k1,16.035463459088252,153.32014029810966
p8,80.67,139.04,k11,5.962251980110928,149.27604504485964
p8,28.38,151.71,k7,49.718771340557446,135.30726544255597
p8,106.18,209.08,k3,6.235252627712046,175.16715372242368
p9,100.77,106.84,k10,46.75449033065463,92.31634452966992
p9,71.09,109.4,k11,5.962251980110928,149.27604504485964
p9,100.09,127.72,k1,16.035463459088252,153.32014029810966
p9,71.08,108.18,k3,6.235252627712046,175.16715372242368
p9,72.25,109.11,k13,1.4498651817969443,92.92457969024203
p9,64.52,144.94,k14,46.15300448180672,177.93288746264977
p9,97.73,114.5,k6,28.107392037707974,216.63587318327092
p10,166.11,270.32,k13,1.4498651817969443,92.92457969024203
p10,190.82,228.08,k6,28.107392037707974,216.63587318327092
p10,132.9,253.89,k12,40.160897732524816,112.8009896210789
p10,126.45,377.09,k14,46.15300448180672,177.93288746264977
p10,169.28,300.12,k15,12.05944173068339,86.15833744238587
p10,209.7,286.58,k4,21.662001996901694,155.06813557790005
p10,61.2,315.22,k9,0.6067309739288429,92.46329302517373
p10,69.56,279.22,k3,6.235252627712046,175.16715372242368
p11,43.83,82.09,k11,5.962251980110928,149.27604504485964
p11,27.86,68.3,k4,21.662001996901694,155.06813557790005
p11,53.49,101.14,k8,3.9667395492727078,118.02775849444842
p11,61.82,67.24,k5,9.157453459324422,148.28324705263594
p11,40.45,85.6,k6,28.107392037707974,216.63587318327092
p11,62.75,92.61,k14,46.15300448180672,177.93288746264977
p11,28.71,92.89,k13,1.4498651817969443,92.92457969024203
p11,59.45,71.91,k9,0.6067309739288429,92.46329302517373
p12,96.66,144.73,k14,46.15300448180672,177.93288746264977
p12,120.23,163.51,k10,46.75449033065463,92.31634452966992
p12,133.29,158.55,k9,0.6067309739288429,92.46329302517373
p12,104.48,167.48,k1,16.035463459088252,153.32014029810966
p12,131.81,147.19,k7,49.718771340557446,135.30726544255597
p12,101.67,145.6,k4,21.662001996901694,155.06813557790005
p12,109.34,144.55,k8,3.9667395492727078,118.02775849444842
p13,150.73,330.64,k8,3.9667395492727078,118.02775849444842
p13,185.14,359.59,k2,15.964165152310866,85.92508752832224
p13,97.45,315.68,k3,6.235252627712046,175.16715372242368
p13,70.34,270.89,k5,9.157453459324422,148.28324705263594
p13,216.41,338.48,k7,49.718771340557446,135.30726544255597
p13,175.77,364.97,k13,1.4498651817969443,92.92457969024203
p13,72.92,297.35,k12,40.160897732524816,112.8009896210789
p13,163.94,288.54,k1,16.035463459088252,153.32014029810966
p13,140.15,291.22,k4,21.662001996901694,155.06813557790005
p13,105.84,349.51,k15,12.05944173068339,86.15833744238587
p14,87.17,208.11,k2,15.964165152310866,85.92508752832224
p14,185.06,349.5,k12,40.160897732524816,112.8009896210789
p14,56.2,364.44,k3,6.235252627712046,175.16715372242368
p14,29.09,233.26,k4,21.662001996901694,155.06813557790005
p14,26.83,333.39,k6,28.107392037707974,216.63587318327092
p14,160.91,216.98,k13,1.4498651817969443,92.92457969024203
p14,87.13,266.04,k8,3.9667395492727078,118.02775849444842
p14,43.6,287.38,k15,12.05944173068339,86.15833744238587
p15,135.92,419.61,k7,49.718771340557446,135.30726544255597
p15,75.76,379.24,k10,46.75449033065463,92.31634452966992
p15,223.98,370.8,k12,40.160897732524816,112.8009896210789
p15,167.51,524.0,k5,9.157453459324422,148.28324705263594
p15,288.22,456.84,k6,28.107392037707974,216.63587318327092
p15,111.62,414.15,k4,21.662001996901694,155.06813557790005
p15,229.66,370.64,k14,46.15300448180672,177.93288746264977
p15,136.78,451.27,k13,1.4498651817969443,92.92457969024203
p15,150.22,511.2,k8,3.9667395492727078,118.02775849444842
p15,115.28,471.4,k11,5.962251980110928,149.27604504485964
p16,163.38,218.26,k8,3.9667395492727078,118.02775849444842
p16,135.22,230.34,k12,40.160897732524816,112.8009896210789
p16,120.16,225.86,k5,9.157453459324422,148.28324705263594
p16,113.96,188.57,k7,49.718771340557446,135.30726544255597
p16,99.5,222.47,k10,46.75449033065463,92.31634452966992
p16,164.55,180.18,k14,46.15300448180672,177.93288746264977
p16,137.52,239.53,k9,0.6067309739288429,92.46329302517373
p16,134.36,253.82,k2,15.964165152310866,85.92508752832224
p16,165.96,215.25,k15,12.05944173068339,86.15833744238587
p17,200.02,325.16,k12,40.160897732524816,112.8009896210789
p17,85.53,342.09,k7,49.718771340557446,135.30726544255597
p17,125.71,347.21,k1,16.035463459088252,153.32014029810966
p17,18.53,393.63,k10,46.75449033065463,92.31634452966992
p18,203.07,258.24,k12,40.160897732524816,112.8009896210789
p18,99.82,419.9,k4,21.662001996901694,155.06813557790005
p18,152.7,257.21,k15,12.05944173068339,86.15833744238587
p18,199.06,342.97,k9,0.6067309739288429,92.46329302517373
p18,15.95,325.35,k14,46.15300448180672,177.93288746264977
p18,140.93,295.97,k10,46.75449033065463,92.31634452966992
p18,59.86,414.95,k7,49.718771340557446,135.30726544255597
p18,83.74,314.88,k13,1.4498651817969443,92.92457969024203
p18,191.54,342.08,k2,15.964165152310866,85.92508752832224
p18,85.53,318.75,k5,9.157453459324422,148.28324705263594
p19,28.34,474.52,k8,3.9667395492727078,118.02775849444842
p19,199.62,471.99,k12,40.160897732524816,112.8009896210789
p19,202.36,488.2,k1,16.035463459088252,153.32014029810966
p19,67.78,402.71,k15,12.05944173068339,86.15833744238587
p19,204.11,367.5,k9,0.6067309739288429,92.46329302517373
p20,95.73,354.47,k9,0.6067309739288429,92.46329302517373
p20,305.3,417.5,k3,6.235252627712046,175.16715372242368
p20,312.81,358.1,k15,12.05944173068339,86.15833744238587
p20,194.74,425.7,k11,5.962251980110928,149.27604504485964
p20,204.53,341.83,k5,9.157453459324422,148.28324705263594
p20,104.6,412.79,k10,46.75449033065463,92.31634452966992
p21,191.6,367.71,k13,1.4498651817969443,92.92457969024203
p21,241.94,292.15,k1,16.035463459088252,153.32014029810966
p21,117.32,335.95,k14,46.15300448180672,177.93288746264977
p21,208.09,310.29,k11,5.962251980110928,149.27604504485964
p21,95.32,256.24,k6,28.107392037707974,216.63587318327092
p21,193.14,311.74,k9,0.6067309739288429,92.46329302517373
p21,166.35,276.28,k15,12.05944173068339,86.15833744238587
p21,148.16,312.68,k4,21.662001996901694,155.06813557790005
p21,239.36,273.31,k10,46.75449033065463,92.31634452966992
p22,56.67,264.57,k13,1.4498651817969443,92.92457969024203
p22,143.87,220.28,k5,9.157453459324422,148.28324705263594
p22,99.34,220.05,k7,49.718771340557446,135.30726544255597
p22,101.73,256.2,k10,46.75449033065463,92.31634452966992
p22,35.16,255.07,k6,28.107392037707974,216.63587318327092
p22,87.24,277.52,k3,6.235252627712046,175.16715372242368
p22,159.03,166.66,k8,3.9667395492727078,118.02775849444842
p23,67.74,391.57,k2,15.964165152310866,85.92508752832224
p23,161.38,301.1,k5,9.157453459324422,148.28324705263594
p23,130.1,347.46,k8,3.9667395492727078,118.02775849444842
p23,109.95,501.46,k9,0.6067309739288429,92.46329302517373
p23,187.42,433.38,k12,40.160897732524816,112.8009896210789
p23,146.46,312.28,k1,16.035463459088252,153.32014029810966
p23,226.77,380.82,k6,28.107392037707974,216.63587318327092
p23,129.07,418.19,k7,49.718771340557446,135.30726544255597
p24,53.89,340.09,k15,12.05944173068339,86.15833744238587
p24,204.94,348.93,k2,15.964165152310866,85.92508752832224
p24,172.49,299.73,k3,6.235252627712046,175.16715372242368
p24,17.49,362.38,k6,28.107392037707974,216.63587318327092
p24,120.4,372.56,k4,21.662001996901694,155.06813557790005
p24,35.62,327.41,k8,3.9667395492727078,118.02775849444842
p24,29.29,222.57,k1,16.035463459088252,153.32014029810966
p24,55.54,338.92,k5,9.157453459324422,148.28324705263594
p24,113.78,231.31,k9,0.6067309739288429,92.46329302517373
p24,183.59,317.88,k14,46.15300448180672,177.93288746264977
p25,109.81,340.79,k7,49.718771340557446,135.30726544255597
p25,33.98,292.35,k9,0.6067309739288429,92.46329302517373
p25,132.65,411.89,k2,15.964165152310866,85.92508752832224
p25,152.66,253.03,k12,40.160897732524816,112.8009896210789
p25,234.11,483.2,k15,12.05944173068339,86.15833744238587
p25,237.24,260.38,k1,16.035463459088252,153.32014029810966
p25,63.84,296.56,k3,6.235252627712046,175.16715372242368
p25,165.87,421.57,k11,5.962251980110928,149.27604504485964
p25,79.49,355.59,k6,28.107392037707974,216.63587318327092
p26,59.52,234.67,k4,21.662001996901694,155.06813557790005
p26,116.0,248.92,k1,16.035463459088252,153.32014029810966
p26,141.11,218.59,k9,0.6067309739288429,92.46329302517373
p26,41.25,244.64,k12,40.160897732524816,112.8009896210789
p26,140.01,203.53,k14,46.15300448180672,177.93288746264977
p26,61.95,190.73,k2,15.964165152310866,85.92508752832224
p27,125.74,436.05,k2,15.964165152310866,85.92508752832224
p27,166.98,384.2,k1,16.035463459088252,153.32014029810966
p27,49.55,447.51,k11,5.962251980110928,149.27604504485964
p27,213.59,432.4,k10,46.75449033065463,92.31634452966992
p27,136.12,445.74,k5,9.157453459324422,148.28324705263594
p27,206.31,273.77,k7,49.718771340557446,135.30726544255597
