SIMULATION 6: 50 xApps, 75 Parameters, 20 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x12,p22,218.96,386.99
x12,p45,99.86,269.39
x12,p1,93.65,158.36
x12,p65,82.6,243.13
x12,p12,53.42,306.47
x12,p61,192.13,332.39
x12,p60,93.88,283.39
x12,p72,114.84,229.27
x12,p39,196.36,337.36
x12,p33,42.03,293.22
x12,p49,126.56,298.12
x12,p43,261.33,352.55
x12,p68,31.44,332.4
x12,p8,44.0,441.91
x12,p75,160.85,281.07
x12,p37,66.19,192.92
x12,p55,102.36,191.09
x12,p25,111.98,542.25
x12,p64,288.36,387.86
x12,p7,89.28,139.71
x12,p9,36.95,76.99
x12,p52,86.1,272.29
x12,p63,246.29,358.03
x12,p34,174.98,309.5
x12,p35,60.96,126.56
x12,p74,121.0,220.28
x12,p20,141.97,230.84
x12,p56,58.98,89.77
x12,p6,163.55,174.64
x13,p30,94.71,164.34
x13,p2,88.81,324.4
x13,p27,224.28,503.49
x13,p20,163.99,221.22
x13,p4,122.62,259.57
x13,p66,122.92,185.63
x13,p29,106.79,313.04
x13,p8,207.83,289.87
x13,p28,72.72,248.77
x13,p18,28.18,116.71
x13,p63,141.62,326.8
x13,p62,154.26,424.4
x13,p37,98.79,179.22
x13,p57,90.7,301.93
x13,p60,61.75,252.52
x13,p75,88.31,272.82
x13,p53,85.65,422.29
x13,p56,32.97,94.84
x13,p70,63.71,136.39
x13,p41,169.14,504.69
x13,p12,221.36,325.25
x13,p69,160.81,307.49
x13,p15,130.71,253.89
x13,p49,87.39,200.36
x13,p36,59.26,211.73
x13,p32,102.52,107.88
x13,p67,186.09,546.41
x13,p54,96.91,217.35
x13,p73,80.86,316.13
x13,p17,105.95,282.38
x13,p71,198.76,297.26
x13,p39,306.1,381.83
x13,p52,132.82,274.61
x13,p48,64.53,345.21
x13,p64,165.63,476.11
x13,p55,78.18,204.14
x14,p23,135.27,387.4
x14,p40,83.95,177.37
x14,p50,129.25,378.55
x14,p8,149.41,297.36
x14,p2,182.56,300.67
x14,p33,65.21,310.68
x14,p56,41.91,94.38
x14,p52,103.28,395.65
x14,p54,81.97,252.76
x14,p11,91.32,329.23
x14,p22,187.19,245.13
x14,p14,101.74,135.37
x14,p73,139.36,316.26
x14,p36,147.7,197.16
x14,p61,76.21,392.36
x14,p6,164.4,211.77
x14,p4,137.08,236.07
x14,p9,55.11,90.1
x14,p29,162.94,319.06
x14,p53,206.76,335.25
x14,p67,130.11,425.9
x14,p38,143.12,182.41
x14,p71,88.71,289.21
x14,p25,187.32,444.72
x14,p55,116.48,174.79
x14,p17,102.03,259.02
x14,p12,175.66,423.86
x14,p51,200.56,374.16
x14,p5,155.3,328.62
x14,p28,101.71,299.48
x15,p64,239.56,366.96
x15,p38,103.63,211.74
x15,p47,107.72,342.91
x15,p16,150.94,189.55
x15,p24,171.6,405.9
x15,p20,96.4,237.3
x15,p65,177.09,213.67
x15,p4,105.43,266.63
x15,p48,108.33,237.18
x15,p66,132.5,185.29
x15,p25,180.48,500.39
x15,p43,162.91,311.13
x15,p18,55.08,133.23
x15,p60,29.41,255.19
x15,p39,103.03,536.92
x15,p74,143.69,193.17
x15,p27,229.14,300.79
x15,p50,255.86,314.2
x15,p61,189.54,551.35
x15,p56,20.89,74.79
x15,p67,221.9,448.42
x15,p72,101.19,239.76
x15,p46,192.67,207.72
x15,p69,108.74,360.37
x15,p55,100.39,174.69
x15,p45,158.33,236.41
x15,p14,103.87,138.99
x15,p70,82.4,117.72
x15,p31,92.77,395.05
x15,p10,52.19,328.79
x15,p22,226.4,299.56
x15,p68,80.23,340.77
x15,p73,192.61,251.12
x15,p49,140.68,205.59
x15,p41,231.1,378.35
x15,p12,90.26,362.01
x16,p7,95.59,137.97
x16,p63,164.39,352.01
x16,p67,112.86,440.11
x16,p17,106.52,296.68
x16,p46,163.55,290.4
x16,p68,183.85,225.5
x16,p52,202.51,280.87
x16,p2,169.41,309.24
x16,p38,118.03,175.48
x16,p12,128.14,247.02
x16,p66,146.64,175.21
x16,p40,149.48,245.58
x16,p34,102.39,324.23
x16,p42,112.01,167.53
x16,p43,236.3,335.05
x16,p48,143.32,317.53
x16,p8,50.07,344.28
x16,p58,62.62,155.48
x16,p36,21.44,244.01
x16,p51,159.61,356.62
x16,p10,173.27,208.62
x16,p15,97.97,265.54
x16,p27,101.06,358.08
x16,p9,51.94,80.12
x16,p18,20.76,107.99
x16,p26,78.88,183.35
x16,p24,106.53,338.82
x16,p44,90.34,154.52
x16,p49,106.55,234.6
x16,p61,256.1,549.77
x16,p32,42.92,161.04
x16,p37,87.42,236.74
x16,p30,116.44,187.06
x16,p22,142.57,323.14
x16,p14,73.74,116.22
x16,p5,30.5,319.23
x16,p73,168.83,315.01
x16,p60,112.4,267.67
x17,p9,32.67,84.62
x17,p2,189.81,442.28
x17,p61,109.05,394.57
x17,p6,130.0,196.06
x17,p33,148.59,219.99
x17,p17,158.75,223.88
x17,p29,208.39,304.27
x17,p35,80.77,115.4
x17,p67,243.16,514.41
x17,p72,155.15,268.54
x17,p11,111.22,396.22
x17,p62,184.39,413.0
x17,p51,58.55,418.76
x17,p18,26.44,88.15
x17,p10,142.44,204.52
x17,p69,171.03,420.9
x17,p12,167.15,245.6
x17,p74,159.29,237.23
x17,p21,94.78,369.47
x17,p43,177.54,319.37
x17,p31,195.25,367.34
x17,p20,126.79,352.28
x17,p75,170.42,391.37
x17,p38,107.56,247.43
x17,p44,76.08,147.33
x17,p15,148.91,250.72
x17,p26,53.03,187.76
x17,p28,125.91,242.24
x17,p19,51.46,258.96
x17,p60,113.74,196.14
x17,p68,104.55,334.46
x17,p70,46.47,129.68
x17,p14,105.37,127.45
x17,p63,104.64,317.17
x17,p47,122.36,286.14
x17,p49,100.88,247.92
x17,p53,47.91,404.12
x17,p58,92.47,216.5
x17,p48,97.98,354.08
x17,p59,138.54,353.87
x17,p42,136.39,161.65
x18,p12,228.42,250.45
x18,p5,130.69,341.24
x18,p8,180.2,366.99
x18,p13,195.76,248.21
x18,p49,164.29,234.14
x18,p32,58.22,152.59
x18,p59,123.24,225.64
x18,p51,133.93,283.55
x18,p20,132.97,311.82
x18,p70,106.0,114.56
x18,p36,147.56,184.04
x18,p50,193.99,305.39
x18,p63,171.36,271.06
x18,p71,79.86,397.96
x18,p64,307.5,362.24
x18,p15,5.55,218.45
x18,p7,100.67,138.87
x18,p74,132.44,167.31
x18,p58,110.87,162.02
x18,p44,93.43,142.04
x18,p4,123.38,255.91
x18,p21,107.0,396.2
x18,p28,114.56,275.08
x18,p24,248.51,495.54
x18,p34,134.63,354.32
x18,p27,193.71,429.12
x18,p57,167.85,309.02
x19,p54,46.29,281.48
x19,p7,94.27,152.98
x19,p9,54.13,61.68
x19,p47,181.13,261.88
x19,p46,97.69,232.43
x19,p30,107.16,175.29
x19,p20,170.1,326.67
x19,p57,179.49,271.53
x19,p6,122.85,212.56
x19,p13,150.65,302.16
x19,p59,66.22,252.15
x19,p53,196.65,278.25
x19,p41,162.31,454.05
x19,p18,42.14,88.7
x19,p58,110.25,210.15
x19,p65,187.53,224.53
x19,p63,167.27,422.4
x19,p11,216.18,353.37
x19,p75,129.43,391.94
x19,p4,94.75,248.25
x19,p26,69.14,222.6
x19,p66,123.91,197.88
x19,p52,192.72,307.76
x19,p37,118.63,158.22
x19,p32,87.72,169.07
x19,p73,160.08,227.56
x19,p40,158.81,259.33
x19,p24,237.61,339.27
x19,p28,115.11,225.7
x19,p61,220.38,444.53
x19,p29,195.23,241.02
x20,p69,265.79,463.06
x20,p62,134.11,252.03
x20,p42,52.59,259.86
x20,p58,61.94,220.94
x20,p65,151.75,296.51
x20,p30,107.37,167.42
x20,p38,149.9,193.94
x20,p15,60.54,221.6
x20,p68,100.66,262.96
x20,p40,115.37,209.68
x20,p67,128.53,451.79
x20,p18,48.83,119.97
x20,p24,142.8,397.38
x20,p41,48.29,365.81
x20,p22,95.14,393.71
x20,p75,83.83,365.09
x20,p20,153.98,214.54
x20,p3,130.99,315.08
x20,p49,114.4,280.74
x20,p37,41.68,148.63
x20,p27,178.14,299.29
x20,p48,172.33,223.36
x20,p39,218.9,411.43
x20,p64,171.34,537.76
x20,p5,236.94,428.06
x20,p50,166.74,297.9
x20,p71,122.13,335.84
x20,p4,101.02,261.55
x20,p10,136.99,330.98
x20,p7,86.22,135.17
x20,p8,104.58,361.43
x20,p1,82.82,178.82
x20,p14,75.57,128.34
x20,p56,24.13,62.99
x20,p57,184.19,281.67
x20,p54,152.04,198.08
x20,p60,17.62,248.95
x20,p53,180.65,348.34
x20,p70,70.42,149.78
x20,p36,87.44,224.87
x20,p55,67.03,141.43
x20,p29,146.08,257.71
x21,p60,85.26,209.89
x21,p11,150.54,394.91
x21,p36,60.68,256.0
x21,p56,34.4,95.31
x21,p66,105.86,195.64
x21,p6,127.52,204.29
x21,p73,110.62,242.88
x21,p45,82.78,163.62
x21,p54,95.38,211.39
x21,p50,144.38,389.78
x21,p52,67.49,247.96
x21,p5,159.95,417.98
x21,p55,129.73,226.07
x21,p34,70.13,329.36
x21,p28,140.33,284.56
x21,p43,160.36,429.4
x21,p12,178.72,384.31
x21,p27,192.15,482.1
x21,p62,176.03,227.12
x21,p40,69.06,200.55
x21,p65,134.23,208.68
x21,p3,260.01,295.21
x21,p13,110.66,266.12
x21,p48,108.6,343.46
x21,p33,53.7,271.28
x21,p10,92.86,257.46
x21,p69,114.45,389.35
x21,p39,123.73,366.64
x21,p49,193.8,217.11
x21,p64,219.1,439.64
x21,p21,112.08,371.29
x21,p4,68.21,219.61
x21,p9,39.95,64.96
x21,p67,180.33,329.03
x21,p29,199.72,335.92
x21,p53,170.08,347.39
x21,p24,110.23,398.63
x21,p20,63.37,302.48
x21,p30,127.94,145.99
x22,p61,138.4,470.48
x22,p68,57.3,227.25
x22,p50,132.47,405.25
x22,p48,104.71,241.63
x22,p19,44.01,261.0
x22,p37,98.09,172.76
x22,p9,43.42,89.74
x22,p4,114.79,230.91
x22,p40,61.16,200.84
x22,p32,98.24,141.99
x22,p74,137.65,185.92
x22,p58,131.57,200.04
x22,p2,213.15,313.35
x22,p8,68.33,244.29
x22,p45,16.22,275.29
x22,p3,182.3,503.17
x22,p28,70.05,247.15
x22,p14,80.7,127.4
x22,p7,79.91,131.87
x22,p22,152.37,318.39
x22,p17,77.8,302.06
x22,p31,90.25,435.83
x22,p38,114.24,210.2
x22,p33,85.34,309.77
x22,p30,96.94,185.17
x22,p16,126.14,232.23
x22,p34,155.38,237.91
x22,p73,156.15,206.32
x22,p29,122.84,326.63
x22,p71,84.93,400.24
x22,p67,166.49,374.96
x22,p10,163.31,328.28
x22,p70,27.54,148.54
x23,p18,65.5,80.9
x23,p24,197.51,373.92
x23,p35,88.66,167.71
x23,p59,7.66,269.31
x23,p40,86.0,231.75
x23,p20,71.86,303.89
x23,p4,85.15,266.16
x23,p16,93.85,196.27
x23,p13,115.53,239.18
x23,p75,69.15,247.08
x23,p47,83.53,208.91
x23,p6,133.07,201.34
x23,p36,40.57,270.43
x23,p23,79.35,299.17
x23,p10,71.55,187.46
x23,p55,81.46,174.21
x23,p43,181.34,345.28
x23,p74,158.61,196.79
x23,p9,50.03,77.12
x23,p17,75.1,285.85
x23,p57,85.46,307.11
x23,p32,45.67,109.4
x23,p28,38.85,267.92
x23,p31,56.45,387.09
x23,p52,65.81,280.92
x23,p58,104.83,164.52
x23,p72,120.3,242.21
x23,p38,80.61,221.83
x23,p60,137.57,294.47
x23,p19,160.53,238.78
x23,p51,226.25,296.32
x23,p73,123.31,317.08
x24,p1,111.7,140.39
x24,p72,127.11,217.65
x24,p35,63.84,154.69
x24,p15,22.24,210.62
x24,p42,15.67,181.29
x24,p62,15.54,372.32
x24,p52,88.7,306.89
x24,p26,87.27,171.16
x24,p71,219.74,288.82
x24,p53,113.19,366.53
x24,p67,201.19,327.28
x24,p29,139.38,264.95
x24,p59,101.49,325.89
x24,p40,68.43,213.25
x24,p5,200.79,424.63
x24,p30,103.91,167.44
x24,p75,46.06,368.75
x24,p38,95.41,190.87
x24,p31,90.52,298.61
x24,p24,183.63,449.52
x24,p57,117.68,294.37
x24,p25,165.87,377.25
x24,p70,68.28,112.43
x24,p2,197.81,311.57
x24,p46,63.27,202.1
x24,p54,87.25,164.5
x24,p49,94.87,263.35
x24,p48,88.24,201.39
x24,p60,19.9,217.88
x24,p32,81.14,146.89
x24,p45,116.86,289.1
x24,p8,141.77,458.32
x24,p7,102.77,110.02
x24,p20,199.14,306.7
x24,p41,102.34,321.43
x24,p50,126.55,318.23
x24,p36,104.72,227.47
x24,p61,237.34,500.91
x24,p4,133.2,255.84
x24,p13,161.62,266.28
x25,p58,108.46,169.15
x25,p51,177.79,329.49
x25,p52,151.23,400.69
x25,p64,333.89,466.17
x25,p7,65.26,148.05
x25,p36,151.71,303.74
x25,p26,100.14,216.33
x25,p46,106.34,316.67
x25,p28,94.2,245.25
x25,p72,102.64,225.78
x25,p38,94.73,242.44
x25,p12,97.05,417.79
x25,p24,181.99,328.17
x25,p31,187.69,386.87
x25,p45,64.16,210.02
x25,p30,135.79,163.49
x25,p18,20.53,118.23
x25,p42,71.98,201.08
x25,p4,102.36,181.92
x25,p19,182.99,294.43
x25,p61,295.5,462.57
x25,p17,74.86,283.62
x25,p21,144.74,447.29
x25,p43,168.75,392.5
x25,p69,194.9,343.78
x25,p65,130.47,254.93
x25,p59,139.74,265.14
x25,p2,119.14,410.24
x25,p34,112.15,278.02
x25,p67,243.04,498.7
x25,p27,163.55,323.32
x25,p10,43.52,336.62
x26,p5,40.59,378.44
x26,p30,134.49,166.33
x26,p19,68.21,292.65
x26,p36,69.11,278.25
x26,p54,79.44,192.17
x26,p75,54.54,323.74
x26,p24,139.89,528.03
x26,p25,55.83,451.32
x26,p43,164.89,429.62
x26,p52,171.18,353.7
x26,p74,119.34,174.24
x26,p35,89.08,148.18
x26,p65,195.64,259.09
x26,p70,96.05,176.86
x26,p3,195.64,320.83
x26,p1,85.14,143.23
x26,p10,43.58,283.07
x26,p11,207.16,361.0
x26,p17,73.57,292.36
x26,p62,190.58,315.8
x26,p48,149.01,303.5
x26,p64,230.99,347.49
x26,p73,199.91,271.02
x26,p13,115.82,210.09
x26,p33,134.27,315.47
x26,p42,64.83,232.11
x26,p67,95.88,554.17
x26,p59,165.61,267.35
x26,p55,131.86,207.14
x26,p41,113.78,479.32
x26,p26,117.08,174.59
x26,p21,220.06,459.55
x26,p27,267.67,332.61
x26,p46,180.2,338.85
x26,p58,121.79,170.24
x26,p45,146.93,194.11
x27,p18,30.22,107.53
x27,p65,158.03,270.46
x27,p74,152.46,188.05
x27,p38,89.85,189.94
x27,p16,82.57,247.3
x27,p7,97.84,120.14
x27,p52,118.17,384.27
x27,p56,37.39,93.85
x27,p26,57.17,187.05
x27,p27,169.73,403.13
x27,p57,214.44,262.35
x27,p17,124.38,272.36
x27,p14,84.34,130.11
x27,p25,120.52,341.01
x27,p39,112.38,528.06
x27,p32,49.78,164.28
x27,p71,49.64,360.54
x27,p47,155.14,288.87
x27,p63,177.54,314.03
x27,p60,90.13,271.51
x27,p1,122.91,137.82
x27,p29,129.27,276.07
x27,p54,104.45,169.57
x27,p20,189.39,374.83
x27,p43,226.49,328.19
x27,p59,144.4,364.44
x27,p72,97.59,213.95
x27,p37,44.92,188.94
x27,p10,96.57,256.6
x27,p53,158.28,422.51
x27,p13,146.93,296.7
x27,p24,158.53,472.87
x27,p11,63.34,257.22
x27,p4,124.73,166.79
x27,p12,60.19,394.37
x27,p67,293.34,436.51
x27,p69,151.78,471.63
x27,p48,64.17,343.42
x27,p5,109.89,305.6
x27,p73,102.03,279.01
x27,p41,65.14,438.28
x27,p62,104.34,397.23
x27,p34,66.41,250.65
x27,p33,76.49,281.33
x28,p13,111.19,237.77
x28,p26,148.63,170.0
x28,p15,118.08,159.47
x28,p59,79.43,328.81
x28,p19,101.68,313.2
x28,p12,228.74,331.82
x28,p66,124.19,180.58
x28,p34,190.34,340.61
x28,p74,158.62,218.53
x28,p44,88.95,176.67
x28,p17,120.31,291.27
x28,p3,259.47,462.1
x28,p1,122.05,172.75
x28,p25,263.77,421.82
x28,p31,151.75,344.74
x28,p43,185.53,341.41
x28,p54,89.48,257.9
x28,p71,200.32,397.98
x28,p63,118.77,425.46
x28,p10,148.34,281.36
x28,p23,46.97,439.51
x28,p38,71.28,196.56
x28,p58,70.5,203.73
x28,p69,162.95,350.13
x28,p60,103.27,202.06
x28,p2,266.97,301.69
x28,p28,174.52,199.55
x28,p50,133.48,403.0
x28,p27,232.29,330.61
x29,p8,200.34,437.58
x29,p19,58.53,268.45
x29,p1,84.84,149.25
x29,p46,173.78,326.7
x29,p40,116.83,185.42
x29,p23,84.91,359.44
x29,p75,100.97,351.08
x29,p54,123.76,219.97
x29,p29,85.61,320.11
x29,p41,96.55,446.67
x29,p51,207.21,434.23
x29,p5,209.55,355.8
x29,p22,193.65,324.1
x29,p4,66.54,198.93
x29,p6,104.95,215.14
