SIMULATION 3: 15 xApps, 20 Parameters, 8 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
x10,p11,36.31,164.86
x10,p2,220.46,413.58
x10,p10,76.76,174.15
x10,p5,170.95,251.12
x10,p4,152.23,274.97
x10,p6,59.06,218.73
x10,p12,142.53,235.1
x11,p18,97.5,145.34
x11,p13,103.49,274.71
x11,p10,84.4,153.76
x11,p2,229.99,356.53
x11,p5,69.46,222.77
x11,p6,146.92,199.86
x11,p11,81.21,176.65
x11,p12,130.03,288.2
x11,p7,83.62,112.46
x11,p17,270.63,389.71
x11,p1,114.7,224.77
x12,p8,98.95,224.7
x12,p12,168.65,192.07
x12,p16,27.57,474.17
x12,p6,82.26,226.85
x12,p19,149.28,192.06
x12,p11,67.76,117.48
x12,p7,32.61,149.46
x13,p14,82.87,192.02
x13,p10,74.07,160.06
x13,p15,124.93,301.22
x13,p17,103.24,335.14
x13,p19,148.31,164.61
x13,p2,224.7,358.24
x14,p20,72.14,127.82
x14,p16,142.09,435.6
x14,p15,187.89,257.75
x14,p6,126.71,291.51
x14,p17,273.47,434.27
x14,p7,35.81,139.99
x14,p10,80.79,112.82
x14,p5,159.64,263.84
x15,p17,238.36,362.92
x15,p5,90.61,260.16
x15,p13,182.44,347.74
x15,p14,149.99,195.42
x15,p10,66.76,168.01
x15,p12,112.19,253.34
x15,p16,204.4,358.55
x15,p6,129.77,161.29
x15,p15,180.86,286.57
x15,p19,119.23,190.55
x15,p3,33.11,396.37

PARAMETER-KPI INFLUENCE RANGES
parameter,p_range_min,p_range_max,kpi,k_min,k_max
p1,117.73,232.33,k8,18.277421431186262,127.57134348396454
p1,94.47,234.16,k1,28.341129743244853,126.1304184346501
p1,130.14,220.55,k2,34.23227523898778,220.91796615469258
p1,85.49,226.72,k3,25.825325702248094,179.08327964075306
p1,63.37,234.41,k5,27.550064097434163,131.39838088766012
p2,219.57,405.67,k6,19.343573606176655,173.37428063153155
p2,204.49,373.42,k4,28.085116948710237,219.76963201141305
p2,160.81,327.65,k7,39.99927109215,178.21407718259317
p3,36.4,424.99,k8,18.277421431186262,127.57134348396454
p3,79.99,293.33,k3,25.825325702248094,179.08327964075306
p3,218.81,362.6,k2,34.23227523898778,220.91796615469258
p3,126.75,281.12,k6,19.343573606176655,173.37428063153155
p4,33.22,470.2,k2,34.23227523898778,220.91796615469258
p4,207.32,385.87,k3,25.825325702248094,179.08327964075306
p4,191.61,479.65,k7,39.99927109215,178.21407718259317
p5,92.13,182.17,k1,28.341129743244853,126.1304184346501
p5,151.05,206.1,k2,34.23227523898778,220.91796615469258
p5,79.97,177.61,k5,27.550064097434163,131.39838088766012
p5,137.65,249.73,k4,28.085116948710237,219.76963201141305
p6,151.83,171.08,k8,18.277421431186262,127.57134348396454
p6,154.89,196.92,k2,34.23227523898778,220.91796615469258
p7,39.61,150.72,k5,27.550064097434163,131.39838088766012
p7,72.41,133.61,k6,19.343573606176655,173.37428063153155
p7,107.4,135.63,k3,25.825325702248094,179.08327964075306
p8,56.38,214.33,k6,19.343573606176655,173.37428063153155
p8,56.91,346.87,k1,28.341129743244853,126.1304184346501
p9,206.26,386.19,k5,27.550064097434163,131.39838088766012
p9,198.45,363.57,k4,28.085116948710237,219.76963201141305
p9,144.98,331.48,k6,19.343573606176655,173.37428063153155
p9,200.56,344.74,k3,25.825325702248094,179.08327964075306
p9,98.57,314.33,k7,39.99927109215,178.21407718259317
p10,34.03,168.51,k8,18.277421431186262,127.57134348396454
p10,28.86,95.95,k7,39.99927109215,178.21407718259317
p11,85.89,116.58,k1,28.341129743244853,126.1304184346501
p11,42.05,180.28,k3,25.825325702248094,179.08327964075306
p12,157.38,215.94,k1,28.341129743244853,126.1304184346501
p12,146.52,267.43,k2,34.23227523898778,220.91796615469258
p13,196.14,243.56,k8,18.277421431186262,127.57134348396454
p13,103.73,220.85,k3,25.825325702248094,179.08327964075306
p14,153.55,268.48,k6,19.343573606176655,173.37428063153155
p14,156.28,231.29,k5,27.550064097434163,131.39838088766012
p14,163.84,222.02,k1,28.341129743244853,126.1304184346501
p14,79.66,247.77,k4,28.085116948710237,219.76963201141305
p15,127.64,212.44,k8,18.277421431186262,127.57134348396454
p15,189.0,221.97,k1,28.341129743244853,126.1304184346501
p15,70.36,330.28,k7,39.99927109215,178.21407718259317
p15,64.23,233.7,k4,28.085116948710237,219.76963201141305
p16,190.12,293.31,k1,28.341129743244853,126.1304184346501
p16,123.8,471.64,k5,27.550064097434163,131.39838088766012
p16,183.67,471.63,k4,28.085116948710237,219.76963201141305
p16,137.2,285.39,k8,18.277421431186262,127.57134348396454
p16,114.76,357.38,k2,34.23227523898778,220.91796615469258
p17,301.48,346.81,k7,39.99927109215,178.21407718259317
p17,295.09,425.22,k6,19.343573606176655,173.37428063153155
p17,278.28,485.59,k2,34.23227523898778,220.91796615469258
p17,119.14,473.98,k4,28.085116948710237,219.76963201141305
p18,123.23,192.49,k5,27.550064097434163,131.39838088766012
p18,74.33,202.95,k2,34.23227523898778,220.91796615469258
p18,112.37,212.4,k3,25.825325702248094,179.08327964075306
p18,59.46,143.08,k6,19.343573606176655,173.37428063153155
p19,125.75,184.82,k7,39.99927109215,178.21407718259317
p19,100.9,207.03,k6,19.343573606176655,173.37428063153155
p20,88.99,107.41,k7,39.99927109215,178.21407718259317
p20,78.13,109.12,k5,27.550064097434163,131.39838088766012
p20,68.72,134.15,k1,28.341129743244853,126.1304184346501

I_XP INCIDENCE MATRIX
,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
x1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
x2,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1
x3,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0
x4,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
x5,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
x6,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
x7,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1
x8,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0
x9,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1
x10,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
x11,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0
x12,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0
x13,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
x14,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1
x15,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0

I_PK INCIDENCE MATRIX
,k1,k2,k3,k4,k5,k6,k7,k8
p1,1,1,1,0,1,0,0,1
p2,0,0,0,1,0,1,1,0
p3,0,1,1,0,0,1,0,1
p4,0,1,1,0,0,0,1,0
p5,1,1,0,1,1,0,0,0
p6,0,1,0,0,0,0,0,1
p7,0,0,1,0,1,1,0,0
p8,1,0,0,0,0,1,0,0
p9,0,0,1,1,1,1,1,0
p10,0,0,0,0,0,0,1,1
p11,1,0,1,0,0,0,0,0
p12,1,1,0,0,0,0,0,0
p13,0,0,1,0,0,0,0,1
p14,1,0,0,1,1,1,0,0
p15,1,0,0,1,0,0,1,1
p16,1,1,0,1,1,0,0,1
p17,0,1,0,1,0,1,1,0
p18,0,1,1,0,1,1,0,0
p19,0,0,0,0,0,1,1,0
p20,1,0,0,0,1,0,1,0

C_IK INTERACTION MATRIX (xApp-KPI)
,k1,k2,k3,k4,k5,k6,k7,k8
x1,5,5,3,3,4,3,1,4
x2,5,4,4,4,4,4,4,3
x3,6,6,4,5,5,5,3,5
x4,3,1,3,3,3,6,6,3
x5,4,2,1,2,4,2,3,2
x6,5,4,2,5,4,3,4,4
x7,6,4,2,4,5,4,4,4
x8,6,7,5,4,5,5,3,4
x9,3,5,5,2,4,5,4,5
x10,3,5,2,3,1,2,4,2
x11,4,6,5,3,4,4,3,4
x12,4,3,2,1,2,3,1,2
x13,2,1,0,4,1,4,5,2
x14,4,4,1,4,4,2,4,4
x15,5,6,2,5,3,4,4,6

CONFLICT MATRIX FOR KPI k1
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,2,3,2,1,2,4,2,5,0,3,3,3,4,1
x10,2,-1,3,2,0,1,2,2,2,0,1,1,1,2,0
x11,3,3,-1,2,0,1,2,3,3,0,2,2,2,3,1
x12,2,2,2,-1,0,1,2,2,2,1,0,2,1,3,0
x13,1,0,0,0,-1,1,2,0,2,1,1,1,2,1,1
x14,2,1,1,1,1,-1,3,2,3,2,2,3,3,3,2
x15,4,2,2,2,2,3,-1,1,5,1,2,3,3,4,1
x2,2,2,3,2,0,2,1,-1,2,2,3,3,4,3,2
x3,5,2,3,2,2,3,5,2,-1,1,3,4,4,5,2
x4,0,0,0,1,1,2,1,2,1,-1,1,2,3,2,2
x5,3,1,2,0,1,2,2,3,3,1,-1,2,4,2,2
x6,3,1,2,2,1,3,3,3,4,2,2,-1,4,5,2
x7,3,1,2,1,2,3,3,4,4,3,4,4,-1,4,3
x8,4,2,3,3,1,3,4,3,5,2,2,5,4,-1,2
x9,1,0,1,0,1,2,1,2,2,2,2,2,3,2,-1

CONFLICT MATRIX FOR KPI k2
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,2,3,2,0,2,4,2,5,1,2,3,2,5,2
x10,2,-1,4,2,1,3,4,3,2,0,1,2,3,3,2
x11,3,4,-1,2,1,3,4,4,4,0,2,3,4,4,4
x12,2,2,2,-1,0,2,3,1,2,0,0,1,1,2,1
x13,0,1,1,0,-1,1,1,1,0,0,0,1,1,0,1
x14,2,3,3,2,1,-1,4,3,2,0,1,3,3,2,2
x15,4,4,4,3,1,4,-1,3,4,1,1,3,3,4,3
x2,2,3,4,1,1,3,3,-1,2,0,2,3,4,2,3
x3,5,2,4,2,0,2,4,2,-1,1,2,3,2,6,3
x4,1,0,0,0,0,0,1,0,1,-1,0,0,0,1,1
x5,2,1,2,0,0,1,1,2,2,0,-1,2,2,2,1
x6,3,2,3,1,1,3,3,3,3,0,2,-1,3,3,2
x7,2,3,4,1,1,3,3,4,2,0,2,3,-1,2,3
x8,5,3,4,2,0,2,4,2,6,1,2,3,2,-1,3
x9,2,2,4,1,1,2,3,3,3,1,1,2,3,3,-1

CONFLICT MATRIX FOR KPI k3
,x1,x10,x11,x12,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,0,2,0,0,2,2,3,1,1,1,1,2,3
x10,0,-1,1,1,0,0,1,0,0,0,0,0,1,0
x11,2,1,-1,2,1,1,3,3,1,1,1,2,3,4
x12,0,1,2,-1,1,0,1,0,1,0,0,1,1,1
x14,0,0,1,1,-1,0,0,0,1,0,0,1,1,1
x15,2,0,1,0,0,-1,1,2,1,0,0,0,1,2
x2,2,1,3,1,0,1,-1,2,1,1,2,1,1,2
x3,3,0,3,0,0,2,2,-1,1,1,1,1,3,4
x4,1,0,1,1,1,1,1,1,-1,0,1,1,2,2
x5,1,0,1,0,0,0,1,1,0,-1,1,1,1,1
x6,1,0,1,0,0,0,2,1,1,1,-1,1,1,1
x7,1,0,2,1,1,0,1,1,1,1,1,-1,2,2
x8,2,1,3,1,1,1,1,3,2,1,1,2,-1,4
x9,3,0,4,1,1,2,2,4,2,1,1,2,4,-1

CONFLICT MATRIX FOR KPI k4
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,1,1,1,1,2,3,1,3,0,2,2,2,2,0
x10,1,-1,3,0,2,2,2,3,2,1,1,2,2,2,1
x11,1,3,-1,0,2,2,2,3,2,1,1,2,2,2,1
x12,1,0,0,-1,0,1,1,0,1,0,0,1,0,1,0
x13,1,2,2,0,-1,2,3,2,3,2,1,2,3,2,2
x14,2,2,2,1,2,-1,4,2,3,1,1,4,3,3,2
x15,3,2,2,1,3,4,-1,2,4,1,2,4,4,3,2
x2,1,3,3,0,2,2,2,-1,2,2,1,3,2,2,1
x3,3,2,2,1,3,3,4,2,-1,2,2,3,3,4,1
x4,0,1,1,0,2,1,1,2,2,-1,0,2,1,2,1
x5,2,1,1,0,1,1,2,1,2,0,-1,1,2,1,0
x6,2,2,2,1,2,4,4,3,3,2,1,-1,3,3,2
x7,2,2,2,0,3,3,4,2,3,1,2,3,-1,2,2
x8,2,2,2,1,2,3,3,2,4,2,1,3,2,-1,1
x9,0,1,1,0,2,2,2,1,1,1,0,2,2,1,-1

CONFLICT MATRIX FOR KPI k5
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,1,2,1,1,2,3,2,4,0,3,3,3,3,1
x10,1,-1,1,0,0,1,1,1,1,0,1,1,1,1,0
x11,2,1,-1,1,0,2,1,2,3,1,2,2,3,4,3
x12,1,0,1,-1,0,2,1,0,1,1,0,1,1,2,1
x13,1,0,0,0,-1,0,1,0,1,0,1,0,1,0,0
x14,2,1,2,2,0,-1,2,2,2,2,2,2,3,3,2
x15,3,1,1,1,1,2,-1,1,3,0,2,2,2,2,0
x2,2,1,2,0,0,2,1,-1,2,2,3,3,3,2,2
x3,4,1,3,1,1,2,3,2,-1,0,3,3,3,4,2
x4,0,0,1,1,0,2,0,2,0,-1,1,1,2,1,2
x5,3,1,2,0,1,2,2,3,3,1,-1,2,4,2,2
x6,3,1,2,1,0,2,2,3,3,1,2,-1,2,3,1
x7,3,1,3,1,1,3,2,3,3,2,4,2,-1,3,3
x8,3,1,4,2,0,3,2,2,4,1,2,3,3,-1,3
x9,1,0,3,1,0,2,0,2,2,2,2,1,3,3,-1

CONFLICT MATRIX FOR KPI k6
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,0,0,1,2,0,3,0,3,2,2,0,1,1,2
x10,0,-1,2,0,2,1,1,2,1,1,0,1,1,1,1
x11,0,2,-1,1,2,2,1,2,2,2,0,1,2,3,3
x12,1,0,1,-1,1,1,1,1,1,3,1,1,2,2,2
x13,2,2,2,1,-1,1,3,2,3,2,2,1,2,1,2
x14,0,1,2,1,1,-1,1,1,0,1,0,1,2,1,2
x15,3,1,1,1,3,1,-1,1,3,2,2,1,2,1,3
x2,0,2,2,1,2,1,1,-1,1,3,0,3,2,2,1
x3,3,1,2,1,3,0,3,1,-1,3,2,0,1,3,3
x4,2,1,2,3,2,1,2,3,3,-1,1,2,2,4,3
x5,2,0,0,1,2,0,2,0,2,1,-1,0,1,0,1
x6,0,1,1,1,1,1,1,3,0,2,0,-1,2,1,1
x7,1,1,2,2,2,2,2,2,1,2,1,2,-1,2,2
x8,1,1,3,2,1,1,1,2,3,4,0,1,2,-1,3
x9,2,1,3,2,2,2,3,1,3,3,1,1,2,3,-1

CONFLICT MATRIX FOR KPI k7
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,0,0,1,1,0,1,0,1,1,1,0,0,0,1
x10,0,-1,3,0,3,2,2,2,1,2,1,2,2,2,1
x11,0,3,-1,0,3,2,2,2,1,2,1,2,2,1,1
x12,1,0,0,-1,1,0,1,0,1,1,1,0,0,0,1
x13,1,3,3,1,-1,3,4,2,3,4,2,3,3,2,3
x14,0,2,2,0,3,-1,3,2,1,3,2,3,4,1,3
x15,1,2,2,1,4,3,-1,1,2,3,2,3,3,1,3
x2,0,2,2,0,2,2,1,-1,1,3,1,2,2,1,2
x3,1,1,1,1,3,1,2,1,-1,3,1,1,1,2,2
x4,1,2,2,1,4,3,3,3,3,-1,3,3,3,2,3
x5,1,1,1,1,2,2,2,1,1,3,-1,1,2,0,2
x6,0,2,2,0,3,3,3,2,1,3,1,-1,3,1,2
x7,0,2,2,0,3,4,3,2,1,3,2,3,-1,1,3
x8,0,2,1,0,2,1,1,1,2,2,0,1,1,-1,1
x9,1,1,1,1,3,3,3,2,2,3,2,2,3,1,-1

CONFLICT MATRIX FOR KPI k8
,x1,x10,x11,x12,x13,x14,x15,x2,x3,x4,x5,x6,x7,x8,x9
x1,-1,0,2,1,0,1,3,2,4,1,1,2,1,3,3
x10,0,-1,2,1,1,2,2,1,0,1,1,1,2,0,1
x11,2,2,-1,1,1,2,3,3,2,1,2,2,3,1,3
x12,1,1,1,-1,0,2,2,1,1,0,0,1,1,1,1
x13,0,1,1,0,-1,2,2,0,1,2,1,2,2,1,1
x14,1,2,2,2,2,-1,4,1,2,2,1,3,3,2,2
x15,3,2,3,2,2,4,-1,2,4,3,1,3,3,3,4
x2,2,1,3,1,0,1,2,-1,2,0,1,1,2,1,3
x3,4,0,2,1,1,2,4,2,-1,2,1,3,2,4,4
x4,1,1,1,0,2,2,3,0,2,-1,1,2,2,2,2
x5,1,1,2,0,1,1,1,1,1,1,-1,2,2,1,1
x6,2,1,2,1,2,3,3,1,3,2,2,-1,3,3,2
x7,1,2,3,1,2,3,3,2,2,2,2,3,-1,2,3
x8,3,0,1,1,1,2,3,1,4,2,1,3,2,-1,3
x9,3,1,3,1,1,2,4,3,4,2,1,2,3,3,-1
