SIMULATION 4: 20 xApps, 25 Parameters, 10 KPIs

XAPP-PARAMETER CONTROL RANGES
xapp,parameter,range_min,range_max
p12,21.63,38.99,k8,4.248593829933106,57.103299577540284
p12,14.21,70.3,k9,41.65903095685432,72.48075107649487
p12,23.66,62.49,k5,7.379502733248977,46.85946386750356
p12,15.54,68.77,k4,14.904026430781508,41.8273934852286
p12,34.95,55.93,k6,4.780744552621058,76.37046780141095
p12,8.08,39.36,k3,1.8756487197037985,109.20787522051685
p13,58.06,127.58,k1,44.81940349929669,180.42631585689585
p13,35.49,111.43,k9,41.65903095685432,72.48075107649487
p13,76.43,143.53,k8,4.248593829933106,57.103299577540284
p13,36.21,153.01,k3,1.8756487197037985,109.20787522051685
p14,91.5,377.12,k4,14.904026430781508,41.8273934852286
p14,151.79,365.68,k6,4.780744552621058,76.37046780141095
p14,133.75,349.77,k8,4.248593829933106,57.103299577540284
p14,215.52,272.32,k5,7.379502733248977,46.85946386750356
p14,181.74,420.46,k2,19.33735153811253,105.0486235902454
p15,144.4,256.35,k8,4.248593829933106,57.103299577540284
p15,163.07,294.6,k6,4.780744552621058,76.37046780141095
p15,201.44,323.38,k3,1.8756487197037985,109.20787522051685
p16,91.28,168.79,k8,4.248593829933106,57.103299577540284
p16,102.96,159.27,k9,41.65903095685432,72.48075107649487
p16,124.41,210.96,k10,34.38545442762993,76.93439290596787
p16,143.14,149.58,k6,4.780744552621058,76.37046780141095
p16,132.55,189.25,k5,7.379502733248977,46.85946386750356
p16,113.99,198.24,k4,14.904026430781508,41.8273934852286
p17,111.73,182.82,k8,4.248593829933106,57.103299577540284
p17,121.3,150.66,k5,7.379502733248977,46.85946386750356
p17,128.54,189.88,k4,14.904026430781508,41.8273934852286
p17,85.96,203.27,k7,16.16754475028851,55.15231105253234
p17,85.92,180.54,k6,4.780744552621058,76.37046780141095
p18,110.22,181.76,k1,44.81940349929669,180.42631585689585
p18,118.08,184.29,k8,4.248593829933106,57.103299577540284
p18,127.85,216.76,k7,16.16754475028851,55.15231105253234
p19,130.86,429.1,k3,1.8756487197037985,109.20787522051685
p19,87.71,320.99,k5,7.379502733248977,46.85946386750356
p19,168.96,372.29,k2,19.33735153811253,105.0486235902454
p19,138.7,328.58,k7,16.16754475028851,55.15231105253234
p20,14.22,172.19,k2,19.33735153811253,105.0486235902454
p20,50.74,119.25,k6,4.780744552621058,76.37046780141095
p20,52.38,123.33,k7,16.16754475028851,55.15231105253234
p21,14.05,253.59,k10,34.38545442762993,76.93439290596787
p21,93.35,218.57,k7,16.16754475028851,55.15231105253234
p21,54.64,214.54,k2,19.33735153811253,105.0486235902454
p21,109.84,192.99,k9,41.65903095685432,72.48075107649487
p22,60.06,333.02,k1,44.81940349929669,180.42631585689585
p22,182.68,231.41,k10,34.38545442762993,76.93439290596787
p22,192.65,340.46,k6,4.780744552621058,76.37046780141095
p22,202.13,396.72,k8,4.248593829933106,57.103299577540284
p22,218.87,296.49,k3,1.8756487197037985,109.20787522051685
p22,94.75,392.56,k4,14.904026430781508,41.8273934852286
p23,40.65,157.85,k1,44.81940349929669,180.42631585689585
p23,142.42,264.75,k8,4.248593829933106,57.103299577540284
p23,127.92,156.54,k5,7.379502733248977,46.85946386750356
p23,34.13,159.41,k3,1.8756487197037985,109.20787522051685
p23,60.37,233.33,k10,34.38545442762993,76.93439290596787
p24,164.91,380.01,k7,16.16754475028851,55.15231105253234
p24,207.98,364.08,k9,41.65903095685432,72.48075107649487
p24,191.45,280.08,k3,1.8756487197037985,109.20787522051685
p25,43.56,186.46,k2,19.33735153811253,105.0486235902454
p25,90.37,140.56,k3,1.8756487197037985,109.20787522051685
p25,55.88,164.39,k6,4.780744552621058,76.37046780141095
p25,93.52,185.7,k5,7.379502733248977,46.85946386750356
p25,95.72,179.96,k10,34.38545442762993,76.93439290596787

I_XP INCIDENCE MATRIX
,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
x1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0
x2,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
x3,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1
x4,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0
x5,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0
x6,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1
x7,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1
x8,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
x9,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
x10,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1
x11,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
x12,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1
x13,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
x14,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
x15,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1
x16,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1
x17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1
x18,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1
x19,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0
x20,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0

I_PK INCIDENCE MATRIX
,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
p1,0,1,0,1,0,1,1,1,0,1
p2,0,0,0,1,1,0,0,1,0,0
p3,1,1,0,1,1,1,0,1,0,0
p4,1,0,0,0,0,1,0,0,0,1
p5,0,1,1,1,0,0,0,1,1,1
p6,1,0,1,1,0,1,0,1,0,0
p7,1,1,0,1,0,1,0,1,0,1
p8,0,0,1,1,1,1,0,1,0,1
p9,1,0,1,0,0,1,1,0,0,1
p10,1,0,0,0,0,0,0,0,1,1
p11,0,1,0,0,1,0,1,1,0,0
p12,0,0,1,1,1,1,0,1,1,0
p13,1,0,1,0,0,0,0,1,1,0
p14,0,1,0,1,1,1,0,1,0,0
p15,0,0,1,0,0,1,0,1,0,0
p16,0,0,0,1,1,1,0,1,1,1
p17,0,0,0,1,1,1,1,1,0,0
p18,1,0,0,0,0,0,1,1,0,0
p19,0,1,1,0,1,0,1,0,0,0
p20,0,1,0,0,0,1,1,0,0,0
p21,0,1,0,0,0,0,1,0,1,1
p22,1,0,1,1,0,1,0,1,0,1
p23,1,0,1,0,1,0,0,1,0,1
p24,0,0,1,0,0,0,1,0,1,0
p25,0,1,1,0,1,1,0,0,0,1

C_IK INTERACTION MATRIX (xApp-KPI)
,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
x1,3,4,4,1,3,2,5,3,2,4
x2,4,4,5,4,3,5,4,6,3,5
x3,6,4,8,7,5,9,3,9,2,6
x4,4,4,4,7,3,9,2,8,3,6
x5,6,6,7,6,4,7,5,11,5,7
x6,7,3,7,5,4,8,4,8,5,9
x7,3,5,4,6,6,6,4,8,4,4
x8,5,3,3,4,2,7,2,5,0,4
x9,6,4,5,8,6,10,4,11,3,6
x10,5,6,8,6,8,8,5,8,5,6
x11,3,5,2,5,5,6,3,6,1,4
x12,2,5,5,4,4,5,3,6,5,5
x13,4,3,4,3,2,5,1,5,2,4
x14,5,4,4,5,3,5,3,6,4,6
x15,2,5,6,6,5,7,4,8,3,6
x16,4,5,7,4,6,5,3,6,4,6
x17,3,3,4,2,4,3,3,4,2,5
x18,7,4,8,7,6,8,4,9,4,8
x19,5,4,3,4,5,5,4,6,2,3
x20,7,6,3,8,4,9,3,9,4,7

CONFLICT MATRIX FOR KPI k1
,x1,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x2,x20,x3,x4,x5,x6,x7,x8,x9
x1,-1,1,1,0,0,2,1,1,1,2,0,2,1,1,1,2,2,0,2,2
x10,1,-1,1,1,2,3,1,2,0,4,4,1,4,3,1,2,4,1,3,1
x11,1,1,-1,0,2,1,0,1,0,2,1,2,3,2,3,2,2,1,2,3
x12,0,1,0,-1,0,0,0,1,1,2,2,0,2,1,1,1,2,0,1,1
x13,0,2,2,0,-1,2,1,2,1,3,2,2,3,3,2,3,3,2,1,3
x14,2,3,1,0,2,-1,2,1,1,4,2,3,3,3,1,3,4,2,3,2
x15,1,1,0,0,1,2,-1,0,1,2,0,2,0,2,0,1,2,1,1,1
x16,1,2,1,1,2,1,0,-1,2,3,3,0,3,2,2,2,3,0,2,3
x17,1,0,0,1,1,1,1,2,-1,2,1,1,1,2,1,2,2,1,1,3
x18,2,4,2,2,3,4,2,3,2,-1,4,3,5,4,3,4,7,1,4,4
x19,0,4,1,2,2,2,0,3,1,4,-1,0,5,3,2,2,4,1,3,2
x2,2,1,2,0,2,3,2,0,1,3,0,-1,2,3,2,3,3,2,2,3
x20,1,4,3,2,3,3,0,3,1,5,5,2,-1,4,4,4,5,2,4,4
x3,1,3,2,1,3,3,2,2,2,4,3,3,4,-1,3,2,4,3,4,4
x4,1,1,3,1,2,1,0,2,1,3,2,2,4,3,-1,2,3,1,3,4
x5,2,2,2,1,3,3,1,2,2,4,2,3,4,2,2,-1,4,2,1,4
x6,2,4,2,2,3,4,2,3,2,7,4,3,5,4,3,4,-1,1,4,4
x7,0,1,1,0,2,2,1,0,1,1,1,2,2,3,1,2,1,-1,1,2
x8,2,3,2,1,1,3,1,2,1,4,3,2,4,4,3,1,4,1,-1,3
x9,2,1,3,1,3,2,1,3,3,4,2,3,4,4,4,4,4,2,3,-1

CONFLICT MATRIX FOR KPI k2
,x1,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x2,x20,x3,x4,x5,x6,x7,x8,x9
x1,-1,2,3,2,0,2,1,2,2,2,2,2,2,0,2,3,2,2,1,2
x10,2,-1,3,3,3,2,3,5,2,3,3,3,2,4,1,2,1,4,1,1
x11,3,3,-1,3,2,2,3,3,2,2,1,3,3,2,3,3,3,3,1,3
x12,2,3,3,-1,2,2,3,3,2,2,2,3,2,2,1,4,2,4,1,2
x13,0,3,2,2,-1,1,3,3,1,2,0,2,1,3,1,1,1,2,0,1
x14,2,2,2,2,1,-1,2,1,1,2,1,2,3,2,2,3,2,3,2,2
x15,1,3,3,3,3,2,-1,3,2,2,0,2,3,3,3,3,2,3,0,2
x16,2,5,3,3,3,1,3,-1,2,3,2,3,1,3,1,2,1,3,0,1
x17,2,2,2,2,1,1,2,2,-1,2,1,1,1,1,1,1,2,2,0,1
x18,2,3,2,2,2,2,2,3,2,-1,1,3,1,2,1,2,2,2,1,1
x19,2,3,1,2,0,1,0,2,1,1,-1,1,2,1,0,2,0,2,2,1
x2,2,3,3,3,2,2,2,3,1,3,1,-1,1,2,1,3,2,3,1,1
x20,2,2,3,2,1,3,3,1,1,1,2,1,-1,2,4,4,2,2,3,4
x3,0,4,2,2,3,2,3,3,1,2,1,2,2,-1,1,1,1,3,1,1
x4,2,1,3,1,1,2,3,1,1,1,0,1,4,1,-1,3,2,1,1,3
x5,3,2,3,4,1,3,3,2,1,2,2,3,4,1,3,-1,2,3,2,3
x6,2,1,3,2,1,2,2,1,2,2,0,2,2,1,2,2,-1,2,1,2
x7,2,4,3,4,2,3,3,3,2,2,2,3,2,3,1,3,2,-1,1,1
x8,1,1,1,1,0,2,0,0,0,1,2,1,3,1,1,2,1,1,-1,2
x9,2,1,3,2,1,2,2,1,1,1,1,1,4,1,3,3,2,1,2,-1

CONFLICT MATRIX FOR KPI k3
,x1,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x2,x20,x3,x4,x5,x6,x7,x8,x9
x1,-1,3,0,0,0,1,1,3,2,2,1,2,0,2,0,1,2,0,1,1
x10,3,-1,1,4,2,4,5,5,2,7,2,4,1,5,1,4,5,3,1,1
x11,0,1,-1,1,2,0,1,1,1,1,0,2,1,2,1,1,1,2,0,1
x12,0,4,1,-1,2,2,3,4,2,5,2,2,2,3,2,3,3,3,1,2
x13,0,2,2,2,-1,1,3,2,1,2,0,3,1,4,2,3,2,3,1,2
x14,1,4,0,2,1,-1,4,2,0,4,0,2,0,3,1,3,2,2,1,1
x15,1,5,1,3,3,4,-1,3,1,5,0,3,0,5,2,4,4,3,2,2
x16,3,5,1,4,2,2,3,-1,4,5,2,3,1,4,2,3,3,3,1,3
x17,2,2,1,2,1,0,1,4,-1,3,2,1,1,2,1,1,2,1,1,2
x18,2,7,1,5,2,4,5,5,3,-1,3,3,2,5,2,4,5,3,2,2
x19,1,2,0,2,0,0,0,2,2,3,-1,0,2,1,1,1,2,0,1,1
x2,2,4,2,2,3,2,3,3,1,3,0,-1,1,5,1,2,3,3,1,1
x20,0,1,1,2,1,0,0,1,1,2,2,1,-1,2,2,2,2,1,1,2
x3,2,5,2,3,4,3,5,4,2,5,1,5,2,-1,3,4,6,3,3,3
x4,0,1,1,2,2,1,2,2,1,2,1,1,2,3,-1,3,2,2,2,4
x5,1,4,1,3,3,3,4,3,1,4,1,2,2,4,3,-1,3,3,1,4
x6,2,5,1,3,2,2,4,3,2,5,2,3,2,6,2,3,-1,1,3,2
x7,0,3,2,3,3,2,3,3,1,3,0,3,1,3,2,3,1,-1,0,2
x8,1,1,0,1,1,1,2,1,1,2,1,1,1,3,2,1,3,0,-1,2
x9,1,1,1,2,2,1,2,3,2,2,1,1,2,3,4,4,2,2,2,-1

CONFLICT MATRIX FOR KPI k4
,x1,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x2,x20,x3,x4,x5,x6,x7,x8,x9
x1,-1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1
x10,0,-1,2,2,2,4,4,3,0,4,2,1,2,4,2,3,1,4,1,3
x11,1,2,-1,0,2,1,2,1,0,3,2,2,4,3,3,2,2,2,2,5
x12,0,2,0,-1,1,2,2,3,2,3,1,2,2,2,3,2,2,3,1,3
x13,0,2,2,1,-1,1,2,2,0,1,0,2,2,3,2,2,0,2,0,2
x14,1,4,1,2,1,-1,3,2,0,4,1,2,2,3,2,4,2,3,2,2
x15,0,4,2,2,2,3,-1,3,0,4,1,1,3,4,3,4,2,2,1,3
x16,0,3,1,3,2,2,3,-1,1,3,1,1,2,3,3,2,1,2,1,3
x17,0,0,0,2,0,0,0,1,-1,1,1,1,2,1,2,0,2,1,1,2
x18,1,4,3,3,1,4,4,3,1,-1,3,2,3,4,3,4,4,3,3,5
x19,0,2,2,1,0,1,1,1,1,3,-1,0,3,3,1,0,2,2,3,3
x2,1,1,2,2,2,2,1,1,1,2,0,-1,3,2,3,3,2,3,1,3
x20,1,2,4,2,2,2,3,2,2,3,3,3,-1,5,6,3,4,3,4,6
x3,0,4,3,2,3,3,4,3,1,4,3,2,5,-1,3,3,3,3,3,4
x4,1,2,3,3,2,2,3,3,2,3,1,3,6,3,-1,4,3,3,2,6
x5,1,3,2,2,2,4,4,2,0,4,0,3,3,3,4,-1,2,3,1,3
x6,1,1,2,2,0,2,2,1,2,4,2,2,4,3,3,2,-1,1,3,4
x7,0,4,2,3,2,3,2,2,1,3,2,3,3,3,3,3,1,-1,1,4
x8,1,1,2,1,0,2,1,1,1,3,3,1,4,3,2,1,3,1,-1,3
x9,1,3,5,3,2,2,3,3,2,5,3,3,6,4,6,3,4,4,3,-1

CONFLICT MATRIX FOR KPI k5
,x1,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x2,x20,x3,x4,x5,x6,x7,x8,x9
x1,-1,2,1,1,0,0,0,3,2,1,2,1,0,0,0,2,0,1,0,1
x10,2,-1,4,3,2,3,4,5,2,5,4,2,2,4,2,3,2,5,1,3
x11,1,4,-1,2,2,0,3,3,1,3,3,2,2,3,1,1,2,3,1,3
x12,1,3,2,-1,1,1,2,3,2,2,1,3,1,1,2,2,2,4,0,2
x13,0,2,2,1,-1,0,2,2,1,1,0,1,1,2,1,0,1,1,0,1
x14,0,3,0,1,0,-1,2,1,0,2,1,0,1,2,1,2,1,2,1,1
x15,0,4,3,2,2,2,-1,3,1,4,1,1,2,4,2,2,3,2,1,3
x16,3,5,3,3,2,1,3,-1,3,3,2,2,1,2,2,3,1,3,0,3
x17,2,2,1,2,1,0,1,3,-1,2,1,2,1,1,1,1,2,2,0,2
x18,1,5,3,2,1,2,4,3,2,-1,3,1,1,3,1,2,3,3,1,3
x19,2,4,3,1,0,1,1,2,1,3,-1,1,2,2,0,1,1,3,2,2
x2,1,2,2,3,1,0,1,2,2,1,1,-1,1,1,1,1,2,3,0,1
x20,0,2,2,1,1,1,2,1,1,1,2,1,-1,3,2,0,2,2,2,3
x3,0,4,3,1,2,2,4,2,1,3,2,1,3,-1,1,1,3,2,2,2
x4,0,2,1,2,1,1,2,2,1,1,0,1,2,1,-1,1,1,2,0,3
x5,2,3,1,2,0,2,2,3,1,2,1,1,0,1,1,-1,1,2,0,2
x6,0,2,2,2,1,1,3,1,2,3,1,2,2,3,1,1,-1,2,1,2
x7,1,5,3,4,1,2,2,3,2,3,3,3,2,2,2,2,2,-1,1,3
x8,0,1,1,0,0,1,1,0,0,1,2,0,2,2,0,0,1,1,-1,1
x9,1,3,3,2,1,1,3,3,2,3,2,1,3,2,3,2,2,3,1,-1

CONFLICT MATRIX FOR KPI k6
,x1,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x2,x20,x3,x4,x5,x6,x7,x8,x9
x1,-1,1,1,0,0,2,1,0,0,2,0,2,1,1,1,1,2,0,2,1
x10,1,-1,4,2,3,4,5,4,1,6,3,2,3,6,3,2,4,4,3,4
x11,1,4,-1,1,4,1,2,3,1,4,2,3,4,4,4,2,3,3,2,5
